Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Sana Vida Wellness,149,0,9031,Medical,B,N
1/25/2023,Sunbit,204.42,0,9031,Medical,B,N
1/25/2023,Texaco,105.92,0,2675,Gas,B,N
1/26/2023,7-eleven,81.67,0,3341,Gas,B,N
1/26/2023,ATM,520,0,9031,Withdrawal,B,N
1/27/2023,7-eleven,15.82,0,9031,Gas,B,N
1/27/2023,Withdrawal Cash,1800,0,0,Withdrawal,B,N
1/28/2023,Fee,34,0,0,Fee,B,N
1/28/2023,Fee,34,0,0,Fee,B,N
1/28/2023,Fee,34,0,0,Fee,B,N
1/29/2023,7-eleven,40.55,0,9031,Gas,B,N
1/29/2023,7-eleven,28.82,0,9031,Gas,B,N
1/29/2023,Shell Service,31.55,0,1,Gas,B,N
1/30/2023,7-eleven,95.73,0,2675,Gas,B,N
1/30/2023,Sana Vida Wellness,162.98,0,9031,Medical,B,N
1/31/2023,Fee,45.25,0,0,Fee,B,N
1/31/2023,Fee,6,0,0,Fee,B,N
1/31/2023,Kristy R Cortez,750,0,1,Professional Service,B,N
1/31/2023,Robin Brown,260,0,1,Gas,B,N
1/31/2023,Walgreens,23.13,0,9031,Medical,B,N
1/31/2023,Walgreens,157.05,0,9031,Medical,B,N
2/2/2023,Sana Vida Wellness,149,0,9031,Medical,B,N
2/3/2023,7-eleven,56.36,0,3341,Gas,B,N
2/3/2023,Alamo Specialty Pharmacy,37.99,0,9031,Medical,B,Y
2/3/2023,Fee,1.95,0,718,Fee,B,N
2/3/2023,Fee,34,0,0,Fee,B,N
2/3/2023,Walgreens,170.34,0,9031,Medical,B,N
2/4/2023,QT,14.01,0,9031,Gas,B,N
2/8/2023,Chevron,29.82,0,3341,Gas,B,N
2/8/2023,Fee,131.11,0,0,Fee,B,N
2/8/2023,Fee,14.66,0,718,Fee,B,N
2/8/2023,Shell Service,2.17,0,3341,Gas,B,N
2/9/2023,7-eleven,148.73,0,9031,Gas,B,N
2/9/2023,Hindo Inc,14.06,0,2675,Gas,B,Y
2/9/2023,Withdrawal Courtesy Pay-DBT,34,0,0,Fee,B,N
2/9/2023,Withdrawal Courtesy Pay-DBT,34,0,0,Fee,B,N
2/9/2023,Withdrawal Courtesy Pay-DBT,34,0,0,Fee,B,N
2/9/2023,Withdrawal Courtesy Pay-DBT,34,0,0,Fee,B,N
2/10/2023,ATM,182.5,0,3341,Withdrawal,B,N
2/10/2023,ATM,200,0,9031,Withdrawal,B,N
2/10/2023,Circle K,75.09,0,9031,Gas,B,N
2/10/2023,Fee,1,0,3341,Fee,B,N
2/10/2023,Shell Service,24.94,0,2675,Gas,B,N
2/10/2023,Withdrawal Cash,1650,0,0,Withdrawal,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
2/11/2023,Fee,34,0,0,Fee,B,N
