Date,Description,Debit,Credit,Cards,Purchase Type
2/10/2024,Hi-Tech Power Wash,600.31,0,2591,Professional Service
2/10/2024,Hi-Tech Power Wash,743.75,0,2591,Professional Service
2/10/2024,Hi-Tech Power Wash,212.5,0,2591,Professional Service
1/26/2024,Hi-Tech Power Wash,600.31,0,2994,Professional Service
1/26/2024,Hi-Tech Power Wash,302.81,0,2994,Professional Service
1/26/2024,Hi-Tech Power Wash,212.5,0,2994,Professional Service
1/11/2024,Hi-Tech Power Wash,281.56,0,2591,Professional Service
4/1/2024,HP Ink,7.57,0,2591,Supplies
3/3/2024,HP Ink,15.14,0,2591,Supplies
2/14/2024,HP Ink,12.98,0,2591,Supplies
1/1/2024,HP Ink,12.98,0,7805,Supplies
2/6/2024,Jaimes Automotors,18.5,0,2591,Auto Maintenance
4/2/2024,Janitorial Manager,850,0,2591,Software
3/3/2024,Janitorial Manager,850,0,2591,Software
2/2/2024,Janitorial Manager,1700,0,2591,Software
1/30/2024,La Chaparrita Meat Market,66.03,0,2994,Groceries
1/10/2024,Light Bulb Depot,260.57,0,2591,Supplies
4/4/2024,Lincoln Natural Life,105.2,0,0,Insurance
3/19/2024,Lincoln Natural Life,316.91,0,0,Insurance
3/6/2024,Lincoln Natural Life,105.2,0,0,Insurance
2/20/2024,Lincoln Natural Life,316.91,0,0,Insurance
2/6/2024,Lincoln Natural Life,105.2,0,0,Insurance
1/19/2024,Lincoln Natural Life,316.91,0,0,Insurance
1/4/2024,Lincoln Natural Life,105.2,0,0,Insurance
3/13/2024,Llano County Tax Office,76.25,0,2591,Auto Maintenance
